iteration,max_reward,mean_reward,min_reward,std_reward,ALGORITHM,SEED,NUM_ENVS,NUM_STEPS,TOTAL_GENERATIONS,POP_SIZE,EVO_STRATEGY,ENV_NAME,GRID_SIZE,N_AGENTS,N_PREY,PREY_VISIBLE_RANGE,PREY_AUDIBLE_RANGE,N_AGENT_SOUNDS,N_PREY_SOUNDS,N_OVERLAPPING_SOUNDS,OBSERVE_OTHER_AGENTS_POS,WANDB_MODE,ENTITY,PROJECT,CHECKPOINT_INTERVAL,KEEP_CHECKPOINTS,experiment_id,overlapping_sounds
1000,-1.2500003576278689,-3.021973133087158,-4.500000953674316,0.6198563575744629,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1050,-1.2500004768371582,-3.330566883087158,-4.500000953674316,0.6048840284347534,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1100,-1.1250003576278689,-2.769531726837158,-4.375000953674316,0.5925023555755615,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1150,-0.7500004172325134,-2.871094226837158,-4.375000953674316,0.6318835616111755,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1200,-1.7500003576278689,-3.398437976837158,-4.500000953674316,0.5201624035835266,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1250,-0.3750004172325134,-2.627441883087158,-4.125000953674316,0.7063685655593872,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1300,-0.6250004172325134,-2.550293445587158,-4.375000953674316,0.723639965057373,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1350,-1.7500003576278689,-3.214844226837158,-4.750000953674316,0.5685306191444397,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1400,-1.3750003576278689,-2.946777820587158,-4.500000953674316,0.6146898865699768,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1450,-0.125000387430191,-3.008301258087158,-4.500000953674316,0.6594913005828857,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1500,-0.2500005662441253,-2.526367664337158,-4.250000953674316,0.7474979162216187,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1550,0.1249996200203895,-2.630371570587158,-4.500000953674316,0.8240069150924683,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1600,-0.3750004470348358,-3.007812976837158,-4.250000953674316,0.5976945757865906,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1650,-0.8750004768371582,-2.869141101837158,-4.500000953674316,0.6424059867858887,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1700,-3.337860050578456e-07,-2.208008289337158,-4.500000953674316,0.8011950254440308,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1750,-1.0000003576278689,-3.074707508087158,-4.500000953674316,0.6309076547622681,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1800,0.6249996423721313,-1.824707269668579,-4.500000953674316,0.8857997059822083,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1850,0.1249995231628418,-2.174805164337158,-4.250000476837158,0.7770732045173645,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1900,-0.8750004172325134,-2.846680164337158,-4.500000953674316,0.6091176271438599,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
1950,-1.0000003576278689,-2.864746570587158,-4.375000476837158,0.6534201502799988,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2000,-0.3750004470348358,-2.634277820587158,-4.125000953674316,0.5996617078781128,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2050,-0.125000387430191,-2.197266101837158,-3.750000715255737,0.692120373249054,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2100,0.2499996721744537,-1.7348637580871582,-4.375000953674316,0.8549333810806274,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2150,0.2499995231628418,-2.002441883087158,-4.125000953674316,0.8173273205757141,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2200,0.7499995231628418,-2.110840082168579,-4.125000476837158,0.767922043800354,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2250,0.3749996125698089,-2.094238758087158,-4.375000953674316,0.7725096344947815,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2300,0.6249997019767761,-2.114746570587158,-4.250000953674316,0.8061379194259644,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2350,-0.2500004768371582,-2.516602039337158,-4.250000476837158,0.7200008630752563,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2400,-0.7500002980232239,-2.655762195587158,-4.125000953674316,0.6397429704666138,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2450,0.8749996423721313,-1.914062738418579,-3.875000715255737,0.8225416541099548,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2500,0.2499996423721313,-2.255859851837158,-4.250000953674316,0.8281780481338501,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2550,-0.5000004172325134,-2.239746570587158,-4.250000953674316,0.7130069136619568,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2600,-0.5000003576278687,-2.561035633087158,-4.125000953674316,0.6725997924804688,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2650,-0.2500004172325134,-2.300293445587158,-4.000000953674316,0.7503888010978699,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2700,2.124999761581421,-1.785156488418579,-4.000000953674316,0.8345765471458435,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2750,0.3749995231628418,-2.154297351837158,-3.750000476837158,0.7658616304397583,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2800,-0.250000387430191,-2.158203601837158,-4.000000953674316,0.6845613121986389,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2850,0.4999994337558746,-2.083008289337158,-3.750000715255737,0.7279099822044373,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2900,-0.7500003576278687,-2.590332508087158,-4.375000953674316,0.6973420977592468,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
2950,0.8749996423721313,-1.9711917638778689,-4.000000953674316,0.8380669355392456,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3000,-0.125000387430191,-2.105957508087158,-3.875000715255737,0.7274045944213867,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3050,-0.3750003278255462,-2.363770008087158,-4.250000953674316,0.7393834590911865,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3100,0.1249995753169059,-2.181641101837158,-3.875,0.7293477654457092,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3150,-0.3750003278255462,-2.435059070587158,-4.000000953674316,0.6929781436920166,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3200,-0.7500004172325134,-2.593262195587158,-4.250000953674316,0.6849427223205566,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3250,0.6249996423721313,-2.003418445587158,-4.125000953674316,0.8584089279174805,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3300,-0.3750003278255462,-2.225098133087158,-3.875000715255737,0.693107545375824,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3350,0.1249995753169059,-2.051270008087158,-4.375000953674316,0.8077510595321655,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3400,1.1249995231628418,-1.735840082168579,-3.625,0.7770871520042419,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3450,0.4999996125698089,-2.143066883087158,-4.375000476837158,0.7519364953041077,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3500,-0.2500003576278686,-2.164551258087158,-4.125000953674316,0.6872057318687439,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3550,0.8749995231628418,-1.7182621955871582,-3.625000715255737,0.8576864004135132,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3600,0.2499995678663253,-1.7993168830871582,-4.000000953674316,0.7754926085472107,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3650,0.624999463558197,-1.911621332168579,-4.250000476837158,0.8300033211708069,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
